tweet,location
Why don’t you just answer the question?  I didn’t know crack was legal to purchase.  If they are pls let us know.  Guns are legal to purchase.  Maybe start there. https://t.co/8cHgz9x3ec,"Irving, TX"
"Reasons I love this tweet:

1. Guns and Roses
2. Scrubs https://t.co/54hazEYSeh","Oklahoma, USA"
This is unfortunate. The two gun bills they are trying to resurrect died in the process of conducting good government with transparency. This maneuver will not allow amendments in conference committee. It will simply be those in powering exerting their power. Undemocratic. https://t.co/yAnFb9QfGS,"Indianapolis, IN"
@lauren_hoggs You are a bright light of activism and patriotism! Don’t let anyone tell you any less or make you feel anything less! I support you and sane gun laws.,"Madera Ranchos, CA"
Punish the law abiding citizens because of the actions of a criminal? Yeah what a joke. Just like your campaign. https://t.co/qV7afCzfiV,"Orangetree, FL"
"@axios And well-deserved. What the hell are you talking about? Have you been living under a rock? Give me 3 examples of good things he's done &amp; I'll give you 50 bad: rolling back protections for our water, federal lands, allowing mentally ill to buy guns, using killer pesticides, on&amp;on!","Charleston, SC"
"@Boomer654 @politstrip @miriam_shir @lauren_hoggs 2 What we do know is that over 100,000 people every year are killed or injured from firearms in the US. Over 90% of children shot in developed countries occurs in the US. And the CDC is not legally allowed to study the affects of guns in the US thanks to Politicians on ...","North Ridgeville, OH"
It’s not funny especially when you have some one trying to teach you the essentials of knowledge.. they will learn one day... https://t.co/ojCI3uJ85B,"Chicago, IL"
"Photo caption: “The Wall of DEATH”!  Available in a community near you.

Question: How many guns of similar design, as those shown, have been used as a deterrent in an attempted home invasion?

Are there any statistics out there? https://t.co/HHwfJRun8V","Lansing, MI"
Drums and guns and guns and drums,"District of Columbia, USA"
"I love the fact that @Alyssa_Milano just Tweets consistently verifiable lies. It’s like she has a hat of crazy and just pulls random stats out of it.

Suicide btw, is the actual third leading cause of death for children. Over 80% of those DO NOT involve guns. https://t.co/l8MfFkdZ17","Houston, TX"
"This is a sad &amp; sick story..Florida's 2016 'Officer of the Year' arrested after feces, guns, drugs allegedly found in his 'disgusting' home - Fox https://t.co/SaU8KaoIHq","Lynchburg, VA"
"@Boomer654 @politstrip @miriam_shir @lauren_hoggs 3 the NRA’s payroll. But the solution from the Right is always more guns! This hasn’t worked anywhere! But the US knows better even though we’re the only developed country that hasn’t figured this out. Look at the UK, Japan and Australia. They all still have people who own guns","North Ridgeville, OH"
Relatable https://t.co/WcbfkVT3lA,"Newport News, VA"
This is unfortunate. The two gun bills they are trying to resurrect died in the process of conducting good government with transparency. This maneuver will not allow amendments in conference committee. It will simply be those in power exerting their power. Undemocratic. https://t.co/yAnFb9QfGS,"Indianapolis, IN"
"Our local @MomsDemand held a press conference w/ the Cincinnati family of Jaime Guttenberg. When asked to respond @RepSteveChabot said the people involved were outside his district. That’s not good enough &amp; as a constituent I don’t accept it

https://t.co/ZbbFdcY5EJ","Cincinnati, OH"
"Yes, a law created the mechanism that  prevents the feds from funding gun violence research...but the *blame* goes to the massive, ongoing, big-business lobbying operation of gun manufacturers, which masquerades as a grassroots movement. https://t.co/WVtMKDcKBI","Potomac, MD"
@wolbbaltimore Really. The only times in history they supported gun controls is when it involved African Americans—after the Civil War and during the Civil Rights movement.,"Cheverly, MD"
This has been my concern as we watch the deception lies and violence from liberal left. We saw how the ranchers out west we're cornered and how only their guns held it at Bay. God help us if it falls into hands of such again. AntiChrist  coming. 😞🙄🇺🇸✝️ https://t.co/Mwo8ENWs2X,"Florida, USA"
@GovMalloyOffice https://t.co/4cFzSWYUSa,"Houston, TX"
LMAO why are they’re so many “guns kill people” signs in Lincoln?! 😂😂😂,"Lincoln, NE"
😡 Get off the campaign trail! Enough is Enough! DO YOUR JOB OR LEAVE! 😡 https://t.co/x6MNVrN6DQ,"Liberty, IN"
"Thank you Richard, I agree. https://t.co/d7pIFsVUXt","North Branch, MN"
@AZWS https://t.co/tCinQ0l9xz,"Neenah, WI"
All physicians should read this and understand why we must help #StopGunViolence as medical professionals. @MomsDemand @AmerMedicalAssn https://t.co/GgwUwWM90M,"Hampton, VA"
HEY TRUMPBILLIES!!!         We’re gonna build walls buy guns and bibles abuse our veterans and military destroy our environment ruin our good standing conspire with our enemies steal from the poor and give to the rich abuse minority’s and fuck porn stars OK?,"Indiana, USA"
@AMpatriot2016 @r_mccormick @realDonaldTrump https://t.co/7A5HDSwX6E https://t.co/pgfLKjoHLJ,"Hialeah, FL"
America Doesn’t Have a Gun Control Problem. We Have a White-People Problem https://t.co/l2RB539ljh via @verysmartbros,"Dayton, OH"
"I truly believe that @chucktodd is trying to get free tickets to @StormyDaniels strip club tour!he talks about her more then guns,tariffs,NKOREA and DACA combined! #SleepyEyesChuckTodd just pay $10 like everyone else who wants to see her!","Whitesboro, NY"
Dumb ass https://t.co/FCY2yjWR63,"Coconut Creek, FL"
"First of all, he is a Democratic Independent who stole the Republican nomination. (He said he would run independent if they didn't nominate him.)

Secondly, he speaks only talking points that insight energy at rallies. (He gets corrected when off script on policy in meetings.) https://t.co/9L18lZHS00","Margate, FL"
@shannonrwatts This is the reason why NRA doesnt want restrictions to gun access based on mental illness. It would prevent all the Veterans we sent into inhumane combat conditions who come home mentally damaged from gun ownership + in many cases prevent them from working as security guards etc.,"New York, NY"
Trump is the biggest snowflake.  We see his unhinged tweets in the morning.  #MAGA TRUMPKINS also are big snow flakes as you don’t like anyone saying anything about your orange Cheeto! https://t.co/5XrbHFaL3x,"Bettendorf, IA"
"💩 like this is why so many people can’t trust politicians and hate politics in general.

Pay attention, Hoosiers. https://t.co/u8zk0iR7VK","Milwaukee, WI"
I could not agree more. BAN Planned Parenthood. #1 killer of children. https://t.co/r6VhNIiCnT,"South Carolina, USA"
"Once again, nobody says it better than you. https://t.co/bKDfooNkvs","Port Orange, FL"
@12News school shootings aren’t about mental health/our country has to many guns!! Background checks/ban assault weapons/buy back programs,"Arizona, USA"
"Jesus carried a Cross,  J.  Falwell says carry a gun and use it to kill Muslims....  It's from 2015, but he means it today. #NotMyJesus https://t.co/inH107EXKj","Columbus, GA"
😳😑 https://t.co/5bBT4zsvKm,"Solon, OH"
.@Newsweek this “organization” is in NO way part of @Blklivesmatter and never has been. It’s just using the name. Correct this story ASAP. Black Lives Matter Calls the NRA a 'Terrorist Organization' For Filing Lawsuit To Raise The Age to Buy Guns https://t.co/wWg12ewupD,"Washington, DC"
"@GeorgiaDirtRoad Bull crap. Get with the majority of the citizens. Give me one good reason an 18-20 year old needs a gun. Want to play with guns, join the Army and learn gun skills and respect@@","Palm Springs, FL"
Haaaaaaaaaahahahahaha these people are so dumb. https://t.co/MucLIBz0Sd,"Chamberlayne, VA"
"For all you “guns kill people,”
I’ll sit this right here and wait for (it) to get some practice… https://t.co/VcRhUXkXt6","Houston, TX"
"From the washed up politician @newtgingrich

https://t.co/pLsz36B2ND","San Leandro, CA"
"@RepJoshG With all the stuff going on this is where your focus is? ICE, DACA, GUNS, TRUMP’S INCOMPETENCE, pick one!","Demarest, NJ"
"@wildauburnrebel @addisonjack @DLoesch If society is a bunch of immoral, lawless, baby killing,drug infested people, then why do u want to be a part of it? Take ur guns and move to a real totalitarian regime like u think u want here! #SeeHowLongThatLasts","Ogden, UT"
@DLoesch Decent people want to make it difficult for ill and criminal people to get guns.  Other people play semantics.,"Pennsylvania, USA"
So the Connecticut Governor has called the NRA a terrorist organization. If that were true it's 5 million members would be rioting in the streets over the attacks by the left on gun rights. More #Fakenews #JoinTheNRA #2A4LIFE,"Missouri, USA"
"Just your daily reminder that the NRA is a corporation that lobbies for gun dealers..Sell more guns, make more money. They have absolutely nothing to do with the 2nd amendment. We support the 2nd amend, we will never support the NRA.","New Hampshire, USA"
There should be more allies in the gun control crisis. Yesterday downtown Glendale CA fully panicked as rumor of a shooter spread. People are living in fear of the next mass shooting. They are traumatized. For good reason. It’s bullshit that we have to fear this.,The Americana at Brand
"@oldsoldier181 @_thymes Washington Post, google it.
The NRA sells guns (no steel tariff outrage) buys politicians.
Their solutions are always sell more guns, scare more people, buy more politicians, vote for republicans, rince, repeat.
There is no “constitutional right” to own military assault weapons. https://t.co/jwUY5Rz53O","Salem, NH"
Oops I might be in a cult https://t.co/zRiCtmQhM1,"Fargo, ND"
@JSOPIO @GoodCopStories @GoodNewsCops @BlueWalkPoconos @MelissaBujeda @FLSheriffs @propacop @PolicingNews @NationalSheriff How stupid can a person be to leave guns in their cars especially when that’s all we here on the news IDK,"Florida, USA"
"#amjoy At dentist on Friday, hygienist told me paranoid theory that government coming for guns. I presume, like Trump, she is fed this on Fox. In Florida, surrounded by this ethos.","Port Salerno, FL"
@mnguy152 @panekbill @WaltTrapper @Ozark_Hunter @kcamp3 @mpmnrm15 @johngutierrez1 @therealbr79 😂😂 and guns,"Missouri, USA"
@readyplayerone This needs to be boycotted. It has glorified guns!!!,"Union, SC"
@AdaptiveTact releases “less lethal” Law Enforcement applications! #torquedmag #torquednation #adaptivetactical #tactical #lawenforcement #firearms https://t.co/o9adZ5LgbI,"Pleasant View, UT"
Disgusting pieces of dog shit @NRA This isn't nor was it EVER about the 2nd Amendment. This is about your GREED and lack of concern for human LIFE. 🖕🖕🖕🖕🖕 https://t.co/Q3qWGdGWMa,"Rosenberg, TX"
"In the 1980s, Japan saw a massive rise in juvenile gangs. They committed crimes, they fought viciously, but no one died. Guess why? No. Guns. What it shows of America's firearm culture: https://t.co/y0A6l2fm0E #NeverAgain","Brooklyn, NY"
"The “anti-gun crowd” is a lie. 97% of America wants universal background checks for all firearms.
The only reason to own military assault weapons is to overthrow our government, PERIOD😂
You’ve been duped stupid 😂 https://t.co/sdLBHhJXUp","Salem, NH"
"@Lt_Fedora @Colleen54737287 In 1931, Weimar authorities discovered plans for a Nazi takeover in which Jews would be denied food and persons refusing to surrender their guns within 24 hours would be executed. In 1933, the ultimate extremist group, led by Adolf Hitler, seized power and used the gun","North Augusta, SC"
"@Lrihendry We waste our breath on these idiot liberals, they hate conservatives because, we believe in God, the constitution, and our guns.","Signal Mountain, TN"
Well then @realDonaldTrump needs to be #ImpeachTrumpNow #ImpeachTrumpNow https://t.co/cUQeq7WwtL,"Los Angeles, CA"
"So, Republicans, NRA, and others who support this lawsuit will be lining up to lower the drinking age to 18 and support legal marijuana in every state for those 18 and over? Because the only reason such laws are in place is for alleged “safety” and protecting people from harm. https://t.co/DHyA8yt1hY","Scranton, PA"
#themilitaact  #righttobeararms  it truly against the constitution to refuse a 18 old to purchase a firearm. What next voting must be 21 ? @foxandfriends https://t.co/m6z2WQOvEC,"Riverview, MI"
"white people wanna label an entire religion as terrorists and talk about violent passages in the Quran but our founding country’s documents written by men who owned and beat people giving them the patriotic right to own guns, that’s no problem. got it.","Woburn, MA"
@CNNPolitics @cnnbrk So are people with guns but let’s keep the hush money coming so we don’t talk about that.,"Hialeah, FL"
